settlement_date,action,symbol,security_name,quantity,price,amount,commission
2025-02-05,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,31363.520,1.000,31363.520,
2025-02-05,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,1358.610,,1358.610,
2025-02-06,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,31364.830,1.000,31364.830,
2025-02-06,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,11363.610,,11363.610,
2025-02-07,You Bought,MUST,COLUMBIA ETF TR I MULTI SEC MUNI,0.783,20.430,16.000,
2025-02-07,You Bought,MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.000,20.500,984.000,
2025-02-07,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,35999.910,,35999.910,
2025-02-07,You Bought,QYLD,GLOBAL X FDS NASDAQ 100 COVER,0.649,18.620,12.080,
2025-02-07,You Bought,QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.000,18.615,3387.910,
2025-02-07,You Bought,RYLD,GLOBAL X FDS RUSSELL 2000,0.623,16.700,10.400,
2025-02-07,You Bought,RYLD,GLOBAL X FDS RUSSELL 2000,203.000,16.698,3389.590,
2025-02-07,You Bought,XYLD,GLOBAL X FDS S&P 500 COVERED,0.691,42.565,29.410,
2025-02-07,You Bought,XYLD,GLOBAL X FDS S&P 500 COVERED,51.000,42.560,2170.570,
2025-02-07,You Bought,TLTW,ISHARES TR 20+ YEAR TR BD,0.407,23.620,9.610,
2025-02-07,You Bought,TLTW,ISHARES TR 20+ YEAR TR BD,25.000,23.615,590.380,
2025-02-07,You Bought,JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,0.744,58.962,43.870,
2025-02-07,You Bought,JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.000,58.962,1356.130,
2025-02-07,You Bought,SPYI,NEOS ETF TRUST NEOS S&P 500 HI,0.514,51.774,26.610,
2025-02-07,You Bought,SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.000,51.775,7973.350,
2025-02-26,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,15367.050,1.000,15367.050,
2025-02-26,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,15364.830,,15364.830,
2025-02-28,You Bought,APO,APOLLO GLOBAL MGMT INC COM,0.860,150.090,129.080,
2025-02-28,You Bought,APO,APOLLO GLOBAL MGMT INC COM,5.000,150.169,750.840,
2025-02-28,You Bought,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,0.928,503.330,467.090,
2025-02-28,You Bought,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,1.000,503.300,503.300,
2025-02-28,You Bought,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,9.000,503.280,4529.520,
2025-02-28,You Bought,BX,BLACKSTONE INC,0.422,160.220,67.610,
2025-02-28,You Bought,BX,BLACKSTONE INC,14.000,160.160,2242.240,
2025-02-28,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,10917.360,,10917.360,
2025-02-28,You Bought,KKR,KKR &CO INC COM,0.149,134.945,20.110,
2025-02-28,You Bought,KKR,KKR &CO INC COM,8.000,134.980,1079.840,
2025-02-28,You Bought,L,LOEWS CORP COM USD0.01,0.422,85.684,36.160,
2025-02-28,You Bought,L,LOEWS CORP COM USD0.01,6.000,85.640,513.840,
2025-02-28,You Bought,TPG,TPG INC COM CL A,0.880,55.590,48.920,
2025-02-28,You Bought,TPG,TPG INC COM CL A,11.000,55.550,611.050,
